CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_05deg,n_10deg,n_20deg,n_025cdeg,n_300cdeg,n_500cdeg
ASASSN-16av,177.868,22.0261,0.02676,35.3467,0.289875,35.23277472695856,0.1139252730414384,0.289875,63201,254317,1010409,15990,2285602,6271106
ASASSN-16br,236.376,-13.1528,0.029,35.5064,0.190895,35.41082871127588,0.0955712887241162,0.190895,0,0,0,0,0,0
ASASSN-16ct,228.476,4.7573,0.04252,36.2457,0.207056,36.2626488099897,-0.0169488099896994,0.207056,63959,266090,1071238,15246,2500113,7021598
ASASSN-16fo,203.149,-5.2725,0.02994,35.4803,0.173804,35.48156064914126,-0.0012606491412583,0.173804,70646,263110,1076510,18304,2437477,6763348
AT2017lm,45.3849,-15.016,0.03002,35.5542,0.216273,35.48747951914553,0.066720480854471,0.216273,84986,357363,1525985,21216,3534814,10002642
AT2017po,240.965,39.9901,0.03201,35.576,0.196814,35.62994434254625,-0.0539443425462522,0.196814,50627,204256,818124,12506,1826025,5025251
ATLAS16bwu,18.5927,-13.1531,0.07074,37.3712,0.228257,37.41018140171683,-0.0389814017168248,0.228257,109113,423796,1547359,27165,3387032,9054386
ATLAS16cpu,227.956,46.251,0.01851,34.5716,0.239989,34.41940331720228,0.1521966827977152,0.239989,44986,178595,730668,11194,1674254,4736176
ATLAS17bas,166.898,22.8514,0.02331,34.5715,0.261746,34.9276501703622,-0.3561501703621985,0.261746,66184,251240,1019519,16728,2204309,6044031
Gaia16aki,239.794,14.6416,0.07398,37.5535,0.176502,37.51215778881543,0.0413422111845704,0.176502,66069,259786,1086397,17079,2437807,6729459
PS15ahs,269.874,43.3901,0.02522,35.1974,0.185937,35.10166023631452,0.0957397636854793,0.185937,66176,257944,1039246,16868,2354526,6618227
PS15asb,215.085,-9.3009,0.04952,36.4714,0.18553,36.60421277587589,-0.132812775875891,0.18553,3986,67852,397688,0,1034333,3358505
PS15bsq,355.467,-8.6379,0.03309,35.7797,0.159699,35.70367286331549,0.0760271366845088,0.159699,67938,263898,1019354,16454,2264823,6262801
PS15cku,21.0939,3.5876,0.02222,35.0537,0.229702,34.82194542409553,0.2317545759044676,0.229702,108741,414552,1627902,28865,3478963,9159650
PS16ayd,216.826,-1.6753,0.05485,36.8581,0.149593,36.83421035945601,0.0238896405439916,0.149593,72569,283016,1122043,18429,2534099,7023779
PS16dnp,344.915,2.1498,0.04998,36.8583,0.163226,36.62498532069562,0.2333146793043781,0.163226,83942,325128,1306211,20924,2933475,8132424
PS17bii,171.409,7.3336,0.07467,37.4501,0.192118,37.53332131387807,-0.0832213138780701,0.192118,59814,244083,962976,14669,2198321,6189703
PSNJ1602512,240.714,47.2248,0.02039,34.556,0.333904,34.63242787128218,-0.0764278712821848,0.333904,47787,197686,796771,9479,1768404,4941691
SCP05D0,35.4253,-3.3648,1.01236,44.1177,0.367085,43.98437482555363,0.1333251744463695,0.367085,107666,429131,1735799,26495,3854712,10698871
SN2016ajf,49.9771,41.565,0.01978,34.7627,0.339971,34.56551026667485,0.1971897333251533,0.339971,0,0,0,0,0,0
SN2016glp,354.058,23.696,0.08366,37.9686,0.221594,37.7931733593061,0.1754266406938995,0.221594,63292,251862,1019647,16317,2271126,6318895
SN2017jl,14.3829,30.1852,0.01529,33.7706,0.30219,33.99930114641883,-0.2287011464188282,0.30219,56464,235875,955664,13425,2043658,5040269
carter,150.061,2.1924,1.54295,45.0902,0.371014,45.10435113174808,-0.014151131748072,0.371014,72325,269801,1011069,19002,2256885,6348478
iPTF17dz,126.107,24.9978,0.09284,38.2226,0.493293,38.032352010055774,0.1902479899442255,0.493293,64374,255800,1027855,15949,2287373,6482560
