CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err
15467,320.02,-0.1774,0.20847,39.8758,0.146778,39.93981878335671,-0.0640187833567154,0.146778
15584,43.4955,0.987,0.28333,40.6596,0.184378,40.69156936359208,-0.0319693635920828,0.184378
15674,340.829,0.2629,0.19555,39.958,0.212325,39.785224063726055,0.1727759362739434,0.212325
15704,40.2107,0.6588,0.36952,41.4498,0.244353,41.35672769120077,0.09307230879923623,0.244353
15897,11.6814,-1.0329,0.17357,39.5403,0.18318,39.49899930165085,0.041300698349154175,0.18318
15901,31.9763,-0.5354,0.20368,39.9041,0.171481,39.883567578298894,0.020532421701105363,0.171481
160039,184.975,48.1403,0.27085,40.4887,0.166124,40.58009150712589,-0.09139150712589128,0.166124
160126,163.283,57.2013,0.36023,41.0791,0.230289,41.29237569026348,-0.2132756902634867,0.230289
160198,242.905,53.9703,0.34899,41.2499,0.158604,41.212431607538946,0.037468392461050826,0.158604
16021,13.8437,-0.3888,0.12336,38.6164,0.162163,38.69183722096723,-0.07543722096723116,0.162163
16093,350.362,1.1325,0.33439,41.1204,0.23572,41.10495892647402,0.015441073525977345,0.23572
16211,348.164,0.2669,0.30939,41.0177,0.300429,40.91043807964127,0.10726192035873083,0.300429
16350,323.639,-0.8858,0.23684,40.2279,0.210237,40.25031063580981,-0.022410635809812618,0.210237
170428,243.619,54.003,0.30007,40.9837,0.198158,40.83418749346961,0.1495125065303924,0.198158
17220,9.7015,-0.1792,0.17769,39.3394,0.257355,39.55512407924062,-0.21572407924062276,0.257355
17340,41.2121,0.3648,0.25625,40.3729,0.207312,40.443493495220316,-0.0705934952203151,0.207312
17464,6.6408,0.042,0.25345,40.0303,0.262822,40.41647787448066,-0.38617787448066565,0.262822
17497,37.1366,-1.0421,0.14388,39.0756,0.170594,39.05337089998445,0.022229100015550785,0.170594
17801,316.093,-0.898,0.20515,40.1661,0.227714,39.90095971287707,0.26514028712293225,0.227714
17811,12.8787,-0.9474,0.21186,39.9136,0.194498,39.9789100282953,-0.06531002829530053,0.194498
17884,27.5998,1.1721,0.23776,40.2317,0.172272,40.25979193315232,-0.028091933152325055,0.172272
18030,4.933,-0.4001,0.15518,39.3994,0.175858,39.232298353400225,0.16710164659977522,0.175858
18604,340.921,0.4214,0.17483,39.7434,0.182014,39.51629410154617,0.22710589845382856,0.182014
18617,345.762,0.8492,0.3257,41.1639,0.271274,41.03891379897301,0.1249862010269851,0.271274
18650,328.447,0.0151,0.11243,38.6214,0.163201,38.47544638911949,0.14595361088051106,0.163201
18697,11.2239,-0.9971,0.10638,38.2611,0.195537,38.346969006593255,-0.08586900659325636,0.195537
18740,16.8553,1.0437,0.15317,39.0991,0.159928,39.20138166059132,-0.10228166059132349,0.159928
18787,29.7298,-1.0271,0.18915,40.1408,0.200523,39.70510151299166,0.435698487008338,0.200523
18804,25.2656,-0.4484,0.19726,39.6932,0.130873,39.80621973200996,-0.11301973200995974,0.130873
18807,46.6409,0.7933,0.18714,39.7694,0.13671,39.67941821617536,0.08998178382464062,0.13671
18927,46.6825,-0.754,0.21214,39.9374,0.243726,39.9821128492864,-0.04471284928640529,0.243726
18940,10.349,0.412,0.21099,39.9552,0.163264,39.968933331946175,-0.01373333194617743,0.163264
190209,333.082,1.0359,0.36648,41.2327,0.155657,41.33583595281503,-0.10313595281503041,0.155657
19027,328.884,-0.372,0.29114,40.484,0.219145,40.75904870471513,-0.2750487047151253,0.219145
19101,7.9727,0.1383,0.20062,39.6837,0.194976,39.84698719549712,-0.16328719549711934,0.194976
19174,25.6597,1.0304,0.16357,39.2807,0.200998,39.35743793905888,-0.07673793905888004,0.200998
19207,333.464,-0.9203,0.25721,40.5776,0.249962,40.45269326914142,0.12490673085857651,0.249962
19230,332.891,0.7648,0.22005,39.9228,0.242946,40.07101279796318,-0.14821279796317555,0.242946
19794,359.319,0.2494,0.29568,41.0209,0.307913,40.797510921455206,0.22338907854479118,0.307913
1990O,258.901,16.322,0.03093,35.4926,0.166476,35.55373979440757,-0.06113979440756623,0.166476
19940,315.393,-0.2685,0.15591,38.9704,0.179204,39.243434278857805,-0.27303427885780707,0.179204
1995ac,341.392,-8.7513,0.04867,36.3303,0.135835,36.56533181955156,-0.23503181955155839,0.135835
1995ak,41.4535,3.2306,0.02193,34.6739,0.247785,34.792961907914744,-0.11906190791474103,0.247785
1996bl,9.0749,11.3946,0.03481,35.7348,0.155656,35.81636803549163,-0.08156803549162817,0.155656
1996bv,94.0542,57.0525,0.01673,34.0755,0.297815,34.1970306077789,-0.1215306077789009,0.297815
1997E,101.909,74.4975,0.01314,33.7649,0.288791,33.66681633796999,0.09808366203000674,0.288791
1997Y,191.381,54.7381,0.01661,34.1973,0.214463,34.18120865731707,0.01609134268292678,0.214463
1997dg,355.059,26.2033,0.02962,35.861,0.192522,35.457729148038446,0.4032708519615511,0.192522
1997do,111.677,47.0933,0.01048,33.1081,0.364668,33.17139395750495,-0.06329395750494626,0.364668
1998V,275.656,15.7021,0.01718,34.1465,0.231417,34.255380421634854,-0.10888042163485068,0.231417
19990,34.8064,-0.3848,0.24883,40.427,0.180619,40.371293568791216,0.05570643120878316,0.180619
1999aa,126.925,21.4874,0.01579,34.1663,0.242893,34.06996909660484,0.09633090339516315,0.242893
1999dg,227.868,13.4849,0.02263,34.8589,0.246447,34.862292836783055,-0.0033928367830569073,0.246447
1999dk,22.8622,14.2849,0.014,33.8053,0.288803,33.80585071460157,-0.0005507146015659714,0.288803
2000cf,238.234,65.9369,0.03646,36.0475,0.166339,35.91947546959546,0.12802453040453798,0.166339
2000cn,269.418,27.8328,0.0226,34.9992,0.267367,34.85936508733082,0.1398349126691798,0.267367
2000dg,1.5575,8.8882,0.03725,36.0748,0.289284,35.967239448921376,0.1075605510786275,0.289284
2000dk,16.848,32.4064,0.01649,34.1436,0.28269,34.16527333072595,-0.02167333072595312,0.28269
2000dm,274.746,16.2482,0.01472,34.0109,0.270222,33.91589604458839,0.095003955411606,0.270222
2001V,179.354,25.2025,0.01592,33.7902,0.290577,34.087980293923174,-0.29778029392317507,0.290577
