CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_025cdeg,n_050cdeg,n_100cdeg,n_200cdeg,n_300cdeg,n_500cdeg
1332413,36.2749,-5.853,0.60873,42.6179,0.230751,42.641520609356,-0.0236206093560014,0.230751,22934,98956,418228,1700963,3786085,10425279
1334470,35.0537,-4.9472,0.51876,42.1949,0.250421,42.22537188985035,-0.0304718898503537,0.250421,25975,106583,428856,1709843,3858546,10574618
1334620,35.7529,-6.2642,0.19624,39.8927,0.29342,39.79371641941105,0.0989835805889498,0.29342,28787,107896,420453,1664241,3783652,10419181
1334644,35.1072,-5.7725,0.28806,40.7075,0.188011,40.73263898443638,-0.0251389844363743,0.188011,28967,111944,421329,1671054,3816679,10476732
1334645,36.3796,-5.879,0.24701,40.1983,0.137434,40.35328064137794,-0.1549806413779393,0.137434,23683,98971,420094,1704674,3780586,10417671
13354,27.5648,-0.8873,0.15654,39.2087,0.210288,39.25300566204648,-0.0443056620464759,0.210288,28566,110322,432899,1720383,3848504,10584291
1336453,40.9697,-1.2293,0.18492,39.7435,0.159325,39.650752095685306,0.0927479043146917,0.159325,28444,110998,437920,1680876,3704103,10190490
1336687,35.6058,-6.1499,0.23381,40.1788,0.292139,40.218841677478345,-0.0400416774783423,0.292139,28251,110042,419381,1665234,3796587,10434278
13370,27.1515,0.3282,0.19846,40.3246,0.238597,39.82085296030183,0.5037470396981689,0.238597,25026,102085,421836,1697362,3812559,10464683
1337325,35.135,-4.6525,0.63866,42.7804,0.261646,42.76711982097971,0.0132801790202918,0.261646,29003,110192,430425,1713710,3860669,10583717
1337649,43.4044,0.5102,0.26151,40.4182,0.225542,40.49351540293243,-0.0753154029324321,0.225542,21699,87413,364606,1524456,3379679,8949442
1337838,35.496,-6.4982,0.31195,40.9503,0.160446,40.93101121445373,0.0192887855462657,0.160446,27104,106563,420241,1653928,3768347,10409682
1338266,34.905,-5.8691,0.64846,43.0397,0.272369,42.80703105560486,0.2326689443951437,0.272369,28672,110462,423393,1670209,3806922,10483233
1338430,40.6393,-1.2547,0.51718,42.0932,0.190441,42.21747278799761,-0.1242727879976044,0.190441,27469,110315,437022,1684777,3714185,10290593
1338471,41.2916,-1.5649,0.53117,42.5253,0.38093,42.28664118580279,0.2386588141972083,0.38093,27711,108713,424050,1673180,3699760,10079288
1341894,35.3025,-4.6502,0.31294,41.0061,0.176794,40.93892546520578,0.0671745347942192,0.176794,29363,111806,429267,1707796,3856372,10575817
