CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_05deg,n_10deg,n_20deg,log_rho_05,log_rho_10,log_rho_20,rho_05_std,rho_10_std,rho_20_std,grad_logrho_logr,abs_grad,multiscale_var,sparse_reconnection,neck_score,abs_resid,low_density_tail,high_density_bulk
050203,242.793,55.1223,0.57609,42.4887,0.202103,42.49769496432906,-0.0089949643290623,0.202103,50374,204341,806311,4.807125177782995,4.81320776703459,4.807293259246191,0.16619737523713696,0.18536005479686407,0.19553589680262212,0.00012124514670953234,0.00012124514670953234,0.0034642831331777742,0.0001680814631965788,-0.8904373595129723,0.0089949643290623,0,0
050301,244.724,55.7829,0.34704,41.1174,0.244272,41.19832050921708,-0.0809205092170799,0.244272,51565,204832,812252,4.817273562910376,4.814250053063623,4.81048146003437,0.17378443649476066,0.18605629970784449,0.19745863613220513,-0.00489946656821097,0.00489946656821097,0.003402855827384838,0.0,-0.8731454307697202,0.0809205092170799,0,0
050303,241.437,56.0744,0.32829,41.3079,0.308428,41.05876672249343,0.2491332775065657,0.308428,44772,190227,775943,4.755926313749797,4.782124569194881,4.790620515266283,0.1279204560165082,0.1645965429488095,0.1854809025559919,0.025026576237717837,0.025026576237717837,0.01808414271712703,0.03469420151648528,-0.16651744068297786,0.2491332775065657,1,0
05D1ke,36.6929,-4.8625,0.68867,42.8137,0.226508,42.96498658679509,-0.151286586795095,0.226508,104564,418113,1719492,5.124296460426017,5.1241448368819995,5.136190548140844,0.40331864333711637,0.39306537414879794,0.39388719107986686,0.008579770681039808,0.008579770681039808,0.006911240506095298,0.01189408771482725,-0.6538611778836156,0.151286586795095,0,0
05D2ac,149.747,2.4895,0.48071,41.9748,0.139221,42.02856228366798,-0.0537622836679787,0.139221,67448,265716,1010754,4.933885633832244,4.927269467828349,4.905436034355655,0.26096509768936044,0.2615530349417495,0.25472381693521406,-0.020522048040075767,0.020522048040075767,0.01488764689362715,0.0,-0.7367160815990997,0.0537622836679787,0,0
05D2bt,150.418,2.5662,0.68195,42.8376,0.239367,42.93921201426994,-0.1016120142699392,0.239367,71237,264931,1002973,4.957621836820367,4.925984545339157,4.902079810969524,0.2787105836788885,0.26069470937737976,0.2526997465795114,-0.040065102627969064,0.040065102627969064,0.027860578999623326,0.0,-0.5745757701298085,0.1016120142699392,0,0
05D3lr,215.551,53.1843,0.6006,42.6116,0.278838,42.60639158042777,0.0052084195722343,0.278838,43589,174153,712207,4.744296987651513,4.743783581167463,4.753396983631699,0.11922622453188463,0.1389848422712042,0.16303214445858322,0.006564259536362134,0.006564259536362134,0.005408188544492053,0.009099995980186293,-0.7144024490533312,0.0052084195722343,1,0
05D4bj,333.749,-18.1334,0.69916,42.9402,0.338462,43.00474388561084,-0.0645438856108384,0.338462,0,0,0,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,-3.3492381598242233,-3.361947861798997,-3.3665565214419995,-0.8685889638065035,0.8685889638065035,0.6020599913279623,0.0,6.44743368343028,0.0645438856108384,1,0
05D4ev,333.377,-17.7008,0.72013,43.1612,0.243162,43.08253563256257,0.0786643674374332,0.243162,0,0,0,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,-3.3492381598242233,-3.361947861798997,-3.3665565214419995,-0.8685889638065035,0.8685889638065035,0.6020599913279623,0.0,6.44743368343028,0.0786643674374332,1,0
06D3et,215.52,52.3384,0.57661,42.4263,0.166843,42.50004607837036,-0.0737460783703625,0.166843,44125,176180,707132,4.749604679286043,4.748809198010266,4.750291241053153,0.12319432202348506,0.14234194392456126,0.16115913400532939,0.0004952496283368722,0.0004952496283368722,0.000741688288202648,0.0006865617671101276,-0.8975612499393342,0.0737460783703625,1,0
